λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
350	1,4768	0,016243547	0,305063025
351	1,4766	0,016769457	0,304887018
352	1,4765	0,01728193	0,304882942
353	1,4763	0,017781445	0,304594019
354	1,4762	0,018341855	0,304376316
355	1,4760	0,018884294	0,30434481
356	1,4759	0,019478855	0,304496062
357	1,4758	0,020050692	0,304371154
358	1,4756	0,020683679	0,3044443
359	1,4755	0,02127433	0,304254253
360	1,4754	0,021883928	0,304139219
361	1,4752	0,022587894	0,304500007
362	1,4751	0,023280109	0,304857932
363	1,4749	0,023976964	0,305206487
364	1,4748	0,024665975	0,305251762
365	1,4747	0,025391707	0,3053428
366	1,4746	0,026098328	0,304651243
367	1,4744	0,026846443	0,304885393
368	1,4743	0,027686065	0,305310238
369	1,4742	0,028482915	0,305750933
370	1,4740	0,029289862	0,306371814
371	1,4739	0,030099995	0,306776648
372	1,4738	0,030895876	0,30691309
373	1,4736	0,03181665	0,306999321
374	1,4735	0,033163502	0,307324884
375	1,4734	0,033502803	0,307811859
376	1,4733	0,034606368	0,30840917
377	1,4731	0,03561589	0,308822716
378	1,4730	0,036534203	0,309208356
379	1,4729	0,037528178	0,30926934
380	1,4728	0,038635536	0,309594501
381	1,4727	0,039649707	0,310145386
382	1,4725	0,04077341	0,310707756
383	1,4724	0,041749486	0,311391009
384	1,4723	0,042828432	0,311750577
385	1,4722	0,043928683	0,311937067
386	1,4721	0,045094172	0,312211716
387	1,4719	0,046224057	0,312758925
388	1,4718	0,047416411	0,313282345
389	1,4717	0,048607123	0,313715316
390	1,4716	0,049831075	0,314328332
391	1,4715	0,050963697	0,314722606
392	1,4714	0,052234668	0,314885532
393	1,4713	0,053521673	0,315267094
394	1,4711	0,054850079	0,315869113
395	1,4710	0,056204902	0,31634622
396	1,4709	0,057568703	0,316899965
397	1,4708	0,058859341	0,317280909
398	1,4707	0,060222518	0,317365594
399	1,4706	0,061651295	0,31774502
400	1,4705	0,063157974	0,318197908
401	1,4704	0,064648801	0,31861784
402	1,4703	0,066086185	0,3190147
403	1,4701	0,067493997	0,319370538
404	1,4700	0,068975285	0,319575879
405	1,4699	0,070451743	0,319792293
406	1,4698	0,072040943	0,320309999
407	1,4697	0,07355701	0,32083952
408	1,4696	0,075120114	0,32121646
409	1,4695	0,076714205	0,321631591
410	1,4694	0,078294014	0,321957046
411	1,4693	0,07987704	0,322141373
412	1,4692	0,08155392	0,321953235
413	1,4691	0,083245711	0,322309451
414	1,4690	0,085026831	0,322618548
415	1,4689	0,086752176	0,323035316
416	1,4688	0,088424079	0,32319693
417	1,4687	0,090146161	0,322377154
418	1,4686	0,091958249	0,322391081
419	1,4685	0,09377173	0,322964304
420	1,4684	0,095626422	0,322523794
421	1,4683	0,097434388	0,322774199
422	1,4682	0,099340284	0,322944984
423	1,4681	0,101122528	0,322860533
424	1,4680	0,103010381	0,322606009
425	1,4679	0,104990871	0,322810597
426	1,4678	0,106881213	0,322763412
427	1,4678	0,108861821	0,322712944
428	1,4677	0,110807937	0,322526947
429	1,4676	0,113460542	0,32237778
430	1,4675	0,114575577	0,322061949
431	1,4674	0,116595605	0,321654755
432	1,4673	0,118816211	0,32155211
433	1,4672	0,12087028	0,321359953
434	1,4671	0,123100122	0,321154011
435	1,4670	0,125219333	0,320829182
436	1,4669	0,12739425	0,320724128
437	1,4669	0,129481123	0,320203212
438	1,4668	0,131786263	0,319922323
439	1,4667	0,134017411	0,31953484
440	1,4666	0,136361553	0,319201297
441	1,4665	0,13847792	0,318654209
442	1,4664	0,140728684	0,318070523
443	1,4663	0,14287782	0,317463366
444	1,4663	0,145308933	0,316910502
445	1,4662	0,147614321	0,316347858
446	1,4661	0,150002061	0,315702584
